,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
147,25-20 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4008640041.0,04/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007401.0,222318.0
148,2071 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,1016560001.0,04/23/2017,Open,Site downloaded for cleaning,,1000252.0,227448.0
149,508 PUTNAM AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3018310010.0,05/03/2017,Open,Site downloaded for cleaning,,1000666.0,188877.0
150,1881 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44.0,3066330048.0,04/08/2017,Open,Site downloaded for cleaning,,991841.0,160462.0
151,41 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 79,35.0,3019850057.0,03/23/2017,Open,Site downloaded for cleaning,,996040.0,188727.0
152,5011 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38.0,3056440006.0,12/27/2016,Open,Site downloaded for cleaning,,983187.0,172805.0
153,330 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3042970002.0,10/25/2016,Open,Site downloaded for cleaning,,1013518.0,180188.0
154,311 WEST  117 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1019440024.0,05/06/2017,Open,Site to be cleaned.,,996626.0,232667.0
155,83 EAST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,,04/24/2017,Open,Property Research Required,,986179.0,203151.0
156,320 BOLTON AVENUE,BRONX,09 BRONX,Precinct 43,18.0,,05/06/2017,Open,Property Research Required,,1023867.0,235043.0
159,95A DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,,12/16/2016,Open,Property Research Required,,987239.0,201173.0
160,937 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17.0,,09/21/2016,Open,Property Research Required,,1012778.0,238336.0
163,825 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35.0,3011410128.0,05/17/2016,Open,Property Research Required,,995209.0,186224.0
164,416 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,,05/30/2016,Open,Property Research Required,,997721.0,198979.0
165,105 CITY ISLAND AVENUE,BRONX,10 BRONX,Precinct 45,13.0,2056250099.0,04/05/2017,Open,Site downloaded for cleaning,,1043989.0,245677.0
166,3744 WHITEPLAINS ROAD,BRONX,12 BRONX,Precinct 47,12.0,2046650059.0,11/09/2016,Open,Site downloaded for cleaning,,1022055.0,260897.0
167,940 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17.0,2025990069.0,01/24/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/19/2017,1011187.0,233525.0
168,1601 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3050770035.0,02/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,994026.0,175648.0
169,632 CATON AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3053290104.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2016,991404.0,175249.0
170,122-28 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,28.0,4117160039.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1035473.0,185473.0
171,2509 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3073300052.0,07/19/2016,Closed,Graffiti is intentional.,,999125.0,157855.0
172,2505 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3066070034.0,10/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/27/2017,991459.0,161293.0
173,997 PROSPECT AVENUE,BRONX,03 BRONX,Precinct 42,17.0,2026780044.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1011885.0,239221.0
174,2454 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,8.0,2023170035.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,1003718.0,234095.0
175,1320 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027610113.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,1015588.0,238440.0
176,293 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3032200005.0,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,1005414.0,194987.0
177,147-16 97 AVENUE,QUEENS,12 QUEENS,Precinct 103,28.0,4100310007.0,02/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1038249.0,193431.0
178,4502 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45.0,3048990004.0,03/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,1002273.0,176647.0
179,424 EAST  147 STREET,BRONX,01 BRONX,Precinct 40,8.0,2022910012.0,01/06/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/29/2017,1007014.0,235975.0
180,262 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38.0,3005170001.0,02/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,981627.0,187128.0
181,321 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1014370007.0,10/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/29/2017,994696.0,216973.0
182,903 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3034430006.0,12/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1010811.0,190960.0
183,851 EAST  156 STREET,BRONX,02 BRONX,Precinct 41,17.0,2026880001.0,05/09/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,02/06/2017,1011260.0,237073.0
184,18-22 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22.0,4005390030.0,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2016,1004419.0,220637.0
185,200 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3029420101.0,10/28/2016,Closed,Cleaning crew dispatched.  Owner refused.,12/08/2016,1002627.0,198300.0
186,1530 BEDFORD AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35.0,3012590034.0,10/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,996733.0,183705.0
187,1726 MC DONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3066070016.0,10/01/2016,Closed,Cleaning crew dispatched.  Owner refused.,12/06/2016,991648.0,161748.0
188,15-30 127 STREET,QUEENS,07 QUEENS,Precinct 109,19.0,4040920033.0,09/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,1028215.0,225258.0
189,5302 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008140038.0,08/29/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/28/2016,980246.0,174159.0
190,91-30 VAN WYCK EXPRESSWAY,QUEENS,09 QUEENS,Precinct 102,29.0,4093750174.0,07/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1035593.0,193910.0
191,365 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032580007.0,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,1006039.0,194520.0
192,2535 ARTHUR KILL ROAD,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51.0,5071530077.0,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,923658.0,140791.0
193,83-02 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25.0,4024760012.0,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1017458.0,207916.0
194,512 EAST   74 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1014850040.0,06/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,997476.0,219060.0
195,208 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,1007700076.0,08/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,984365.0,210249.0
196,55 PITT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003430066.0,06/10/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/01/2016,989005.0,200737.0
197,824 62 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38.0,3057280017.0,08/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,981463.0,170232.0
198,1301 36 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3053100029.0,08/11/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,10/25/2016,988579.0,173231.0
199,528 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38.0,3005900032.0,08/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,981973.0,184690.0
200,113 SMITH STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3001880010.0,07/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,987116.0,189895.0
201,102 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3032170005.0,07/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1004003.0,193618.0
202,275 BOERUM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030730061.0,08/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1001722.0,196668.0
203,9601 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46.0,3081840006.0,07/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1011626.0,173637.0
204,1686 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3065820050.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2016,991586.0,162180.0
205,840 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026790043.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/11/2016,997870.0,202365.0
206,18 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1003980035.0,11/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,988856.0,202365.0
207,211 AVENUE M,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065380050.0,01/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,991765.0,163920.0
208,1824 CEDAR AVENUE,BRONX,05 BRONX,Precinct 46,16.0,2028810010.0,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,1006391.0,250029.0
209,1701 AVENUE M,BROOKLYN,14 BROOKLYN,Precinct 70,44.0,3067370058.0,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,995909.0,164521.0
210,4207 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3055960030.0,01/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,985841.0,173370.0
211,25-71 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4006840116.0,11/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,1008620.0,218920.0
212,4414 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007370043.0,12/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,981686.0,175976.0
213,596 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026800044.0,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2017,998013.0,202699.0
214,169 EAST   86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1015157503.0,03/06/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/14/2017,996763.0,223158.0
215,776 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3006570038.0,02/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,984612.0,179672.0
216,445 EAST    6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1004340036.0,12/29/2016,Closed,Cleaning crew dispatched.  Owner refused.,03/31/2017,988370.0,203769.0
217,32-62 83 STREET,QUEENS,03 QUEENS,Precinct 115,25.0,4014120040.0,12/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1016219.0,214918.0
218,184 BUFFALO AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36.0,3013680044.0,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1005004.0,184411.0
219,218 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3023580020.0,12/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,994827.0,200138.0
220,7810 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3062590039.0,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,984060.0,162691.0
221,44-10 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4007130084.0,06/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/10/2016,1008732.0,217015.0
222,59 ST MARY'S AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49.0,5028460232.0,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,964949.0,163508.0
223,3479 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020880098.0,08/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,997554.0,239639.0
224,145-01 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24.0,4096750038.0,07/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1036983.0,195083.0
225,501 EAST   85 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1015820001.0,07/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,998856.0,221672.0
226,262 MOTT STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,1005087502.0,08/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,985744.0,202937.0
227,120-03 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29.0,4092740081.0,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,1031410.0,194437.0
228,6807 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3055740008.0,07/16/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/28/2016,984689.0,165564.0
229,6808 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3055730010.0,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984682.0,165561.0
230,566 EAST  188 STREET,BRONX,06 BRONX,Precinct 48,15.0,2030560015.0,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/24/2016,1015266.0,251511.0
231,5409 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38.0,3056720007.0,09/06/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/24/2016,982542.0,171993.0
232,4719 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007650002.0,07/26/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/20/2016,981204.0,175357.0
233,866 HUNTS POINT AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027620044.0,07/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/19/2016,1015016.0,237351.0
234,200 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36.0,3012370042.0,07/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,1001172.0,184725.0
235,887 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3019760001.0,07/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,993181.0,188368.0
236,604 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016400044.0,08/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1002781.0,189745.0
237,336 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032350034.0,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1005738.0,194738.0
238,936 MARCY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3018500025.0,06/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,999114.0,187479.0
239,152 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3015510056.0,08/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1008994.0,186286.0
240,963 LAFAYETTE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016070001.0,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1002756.0,191386.0
241,201 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024320025.0,08/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,995295.0,198272.0
242,967 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025400039.0,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2016,996834.0,206029.0
243,256 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023570116.0,05/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2016,994497.0,200542.0
244,279 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016720001.0,06/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1003936.0,188052.0
245,301 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024060006.0,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/24/2016,994824.0,199264.0
246,2150 BATH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3064470027.0,05/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/11/2016,984815.0,157498.0
247,381 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3023460021.0,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2016,996584.0,199441.0
248,128 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026820007.0,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2016,998537.0,203248.0
249,1797 STILLWELL AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3066430049.0,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/30/2016,988029.0,158868.0
250,2219 VOORHIES AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3074670030.0,05/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2016,999153.0,152978.0
251,98 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3022900019.0,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/07/2016,996732.0,201746.0
252,1272 WHITEPLAINS ROAD,BRONX,09 BRONX,Precinct 43,18.0,2037680032.0,01/25/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/09/2017,1022344.0,242481.0
253,1742 EAST    2 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,44.0,3066330038.0,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2017,992132.0,160531.0
254,79-11 146 STREET,QUEENS,08 QUEENS,Precinct 107,24.0,4066720057.0,03/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2017,1035096.0,201193.0
255,1291 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,16.0,2028390068.0,01/04/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,03/06/2017,1007567.0,244063.0
256,22-68 35 STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4008320082.0,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/12/2016,1009095.0,221183.0
257,92-48 172 STREET,QUEENS,12 QUEENS,Precinct 103,27.0,4102120037.0,09/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,1043160.0,196671.0
258,645 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40.0,3050570008.0,09/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2016,997289.0,178187.0
259,348 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1019540043.0,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,997756.0,235218.0
260,38-10 65 STREET,QUEENS,02 QUEENS,Precinct 108,26.0,4012190083.0,06/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1012319.0,211366.0
261,11-16 124 STREET,QUEENS,07 QUEENS,Precinct 109,19.0,4039960032.0,08/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/09/2016,1027503.0,226325.0
262,259 HERZL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3035560001.0,07/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,1008086.0,181118.0
263,2101 WESTBURY COURT,BROOKLYN,09 BROOKLYN,Precinct 71,40.0,3050260235.0,08/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,995153.0,178528.0
264,1000 EAST  163 STREET,BRONX,02 BRONX,Precinct 41,17.0,2027230006.0,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,1013733.0,238396.0
265,22 WEST  174 STREET,BRONX,05 BRONX,Precinct 46,14.0,2028650179.0,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2016,1007882.0,247701.0
266,132 WEST  169 STREET,BRONX,04 BRONX,Precinct 44,16.0,2025180028.0,06/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1005172.0,245322.0
267,547 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3018010151.0,07/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1000890.0,190283.0
268,666 HANCOCK STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016620012.0,07/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1004014.0,188840.0
269,3030 OCEAN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3074640022.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2016,998383.0,153230.0
270,221 NORTH SEVENTH STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023210030.0,05/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/29/2016,996546.0,200337.0
271,4920 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007850143.0,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,982721.0,173483.0
272,8300 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060170038.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,976619.0,166953.0
273,254 KENT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33.0,3023770002.0,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2016,993727.0,200318.0
274,372 81 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059970037.0,02/10/2017,Closed,10-99 - Other (Notes Required),02/10/2017,976668.0,167550.0
275,198 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023270028.0,01/12/2017,Closed,10-90X - Unfounded,01/12/2017,995827.0,200637.0
276,724 EAST  233 STREET,BRONX,12 BRONX,Precinct 47,12.0,2048460051.0,12/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/26/2017,1023943.0,264690.0
277,4004 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12.0,2048400042.0,03/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1022969.0,263086.0
278,297 NORTH    7 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023230045.0,06/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/11/2017,997274.0,199742.0
279,55 KENT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025497501.0,01/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2017,995638.0,205415.0
280,135 POWELL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,37.0,3037120009.0,08/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1010778.0,183893.0
281,79 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1004087502.0,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,987145.0,200776.0
282,269 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,1004277502.0,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,986241.0,202878.0
283,4653 CARPENTER AVENUE,BRONX,12 BRONX,Precinct 47,11.0,2050780045.0,06/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/14/2016,1024755.0,268639.0
284,2385 BARKER AVENUE,BRONX,11 BRONX,Precinct 49,15.0,2043407502.0,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1020357.0,252930.0
285,1741 PILGRIM AVENUE,BRONX,10 BRONX,Precinct 45,13.0,2041620041.0,06/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2016,1030323.0,247678.0
